date,time,frame_id,pothole_id,confidence,bounding_box_area,aspect_ratio,peak_jerk,severity,latitude,longitude
2026-03-20,01:56 pm,15,pothole_001,0.88,2955,0.8,3.0,Medium,18.457497,73.851289
2026-03-20,01:56 pm,30,pothole_002,0.85,5828,1.42,7.8,High,18.457465,73.850264
2026-03-20,01:56 pm,45,pothole_003,0.9,1538,1.72,6.3,High,18.456853,73.8515
2026-03-20,01:56 pm,60,pothole_004,0.74,3417,1.56,2.7,Low,18.457896,73.850973
2026-03-20,01:57 pm,75,pothole_005,0.92,1717,0.62,5.0,Medium,18.458037,73.850725
2026-03-20,01:57 pm,90,pothole_006,0.76,2624,1.79,4.3,Medium,18.45692,73.851624
2026-03-20,01:57 pm,105,pothole_007,0.87,3009,0.83,7.8,High,18.458338,73.850476
2026-03-20,01:57 pm,120,pothole_008,0.7,5296,0.71,6.4,High,18.457923,73.851118
2026-03-20,01:58 pm,135,pothole_009,0.95,3855,1.31,3.9,Medium,18.457261,73.851432
2026-03-20,01:58 pm,150,pothole_010,0.93,3544,1.7,3.7,Medium,18.457844,73.85032
2026-03-20,01:58 pm,165,pothole_011,0.8,2025,1.53,4.8,Medium,18.457863,73.850185
2026-03-20,01:58 pm,180,pothole_012,0.89,3395,1.04,3.5,Medium,18.458441,73.849905
2026-03-20,01:59 pm,195,pothole_013,0.62,2544,1.57,1.7,Low,18.456708,73.850855
2026-03-20,01:59 pm,210,pothole_014,0.75,2211,0.87,8.8,High,18.457545,73.850244
2026-03-20,01:59 pm,225,pothole_015,0.92,2756,0.87,1.9,Low,18.457848,73.849876
2026-03-20,01:59 pm,240,pothole_016,0.63,3328,1.61,7.2,High,18.45757,73.8515
2026-03-20,02:00 pm,255,pothole_017,0.72,4956,0.67,5.2,Medium,18.457846,73.850349
2026-03-20,02:00 pm,270,pothole_018,0.93,1595,1.0,2.4,Low,18.4582,73.850715
2026-03-20,02:00 pm,285,pothole_019,0.61,4560,0.9,4.7,Medium,18.458435,73.851364
2026-03-20,02:00 pm,300,pothole_020,0.91,2912,1.64,7.3,High,18.456889,73.849991
2026-03-20,02:01 pm,315,pothole_021,0.77,3101,1.34,3.8,Medium,18.457881,73.850239
2026-03-20,02:01 pm,330,pothole_022,0.87,2654,1.53,5.9,Medium,18.458455,73.851624
2026-03-20,02:01 pm,345,pothole_023,0.89,3726,0.65,3.4,Medium,18.45763,73.850817
2026-03-20,02:01 pm,360,pothole_024,0.74,2026,0.8,5.4,Medium,18.456547,73.850325
2026-03-20,02:02 pm,375,pothole_025,0.74,5422,1.16,4.0,Medium,18.457793,73.850368
2026-03-20,02:02 pm,390,pothole_026,0.83,3078,0.66,4.7,Medium,18.457966,73.849832
2026-03-20,02:02 pm,405,pothole_027,0.92,3863,1.77,6.4,High,18.4572,73.850489
2026-03-20,02:02 pm,420,pothole_028,0.86,4181,1.49,8.9,High,18.456744,73.850048
2026-03-20,02:03 pm,435,pothole_029,0.91,1865,0.88,4.1,Medium,18.456634,73.850214
2026-03-20,02:03 pm,450,pothole_030,0.95,1573,1.58,3.4,Medium,18.456656,73.850754
2026-03-20,02:03 pm,465,pothole_031,0.81,1797,0.61,4.0,Medium,18.4584,73.851055
2026-03-20,02:03 pm,480,pothole_032,0.97,3027,0.99,8.4,High,18.458457,73.85086
2026-03-20,02:04 pm,495,pothole_033,0.66,3162,1.26,7.4,High,18.457357,73.850866
2026-03-20,02:04 pm,510,pothole_034,0.94,2740,1.74,8.3,High,18.457209,73.850935
2026-03-20,02:04 pm,525,pothole_035,0.72,4690,1.78,3.2,Medium,18.456719,73.850426
2026-03-20,02:04 pm,540,pothole_036,0.69,5470,1.66,3.1,Medium,18.456785,73.850382
2026-03-20,02:05 pm,555,pothole_037,0.72,5115,1.78,3.7,Medium,18.457724,73.850714
2026-03-20,02:05 pm,570,pothole_038,0.96,3413,1.32,6.0,High,18.456568,73.850865
2026-03-20,02:05 pm,585,pothole_039,0.82,5314,0.74,2.6,Low,18.458105,73.851023
2026-03-20,02:05 pm,600,pothole_040,0.82,1527,1.36,9.4,High,18.457184,73.850921
2026-03-20,02:06 pm,615,pothole_041,0.6,3175,1.15,3.8,Medium,18.457039,73.851128
2026-03-20,02:06 pm,630,pothole_042,0.8,2113,1.27,1.7,Low,18.4585,73.850221
2026-03-20,02:06 pm,645,pothole_043,0.65,3523,1.64,8.7,High,18.457041,73.850664
2026-03-20,02:06 pm,660,pothole_044,0.79,4879,1.38,2.7,Low,18.458274,73.851115
2026-03-20,02:07 pm,675,pothole_045,0.64,3932,0.6,6.0,High,18.456602,73.851547
2026-03-20,02:07 pm,690,pothole_046,0.72,1830,1.73,7.4,High,18.458307,73.851778
2026-03-20,02:07 pm,705,pothole_047,0.93,4916,0.76,9.4,High,18.457655,73.851321
2026-03-20,02:07 pm,720,pothole_048,0.88,3414,0.77,6.9,High,18.456672,73.850626
2026-03-20,02:08 pm,735,pothole_049,0.91,4385,1.6,7.4,High,18.458423,73.851125
2026-03-20,02:08 pm,750,pothole_050,0.63,3619,1.11,1.6,Low,18.456848,73.851388
